id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
21020000,1050000,APARTMENT,GROUND_FLOOR,Flanders,West Flanders,Brugge,8300,51.3408811,3.2894201,2019,163,,,4,MISSING,0,0,0,0,0,0,0,0,GOOD,,A,MISSING,0,
65802000,783000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1150,50.8358174,4.4133345,,136,,,3,INSTALLED,0,0,1,37,0,0,0,1,MISSING,,MISSING,GAS,1,
37262000,210000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2040,51.361645,4.3098017,,125,514,4,1,SEMI_EQUIPPED,0,1,0,0,0,0,0,0,TO_RENOVATE,743,F,GAS,0,
30906000,260000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9255,51.0161832,4.2285532,1947,145,390,,3,MISSING,0,0,0,0,0,0,0,1,MISSING,600,F,MISSING,1,
22811000,320000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,,,,133,,,3,MISSING,0,0,0,0,0,0,0,1,MISSING,212,C,MISSING,1,1722
49615000,174500,HOUSE,HOUSE,Wallonia,Liège,Liège,4100,50.596006,5.5185644,,80,281,3,2,INSTALLED,0,0,1,68,1,50,0,0,GOOD,353,E,GAS,1,585
54333000,675000,HOUSE,MIXED_USE_BUILDING,Flanders,Antwerp,Antwerp,2650,51.1636426,4.4556129,,,648,2,5,NOT_INSTALLED,0,1,0,0,0,0,0,0,MISSING,,MISSING,FUELOIL,1,
31249000,895000,HOUSE,VILLA,Flanders,Flemish Brabant,Halle-Vilvoorde,1640,,,1966,277,650,4,3,USA_HYPER_EQUIPPED,0,0,1,65,1,320,0,0,AS_NEW,384,D,GAS,1,3880
67959000,249000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5030,50.5448811,4.7222182,2023,65,,,1,NOT_INSTALLED,0,0,1,11,0,0,0,1,AS_NEW,,MISSING,MISSING,1,
23078000,328858,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1060,50.8153223,4.3239204,2022,94,,2,2,USA_HYPER_EQUIPPED,0,0,1,15,0,0,0,0,AS_NEW,55,B,GAS,1,
1631000,479000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9170,51.2187278,4.1307722,2010,188,275,3,4,INSTALLED,0,1,1,92,0,0,0,0,GOOD,144,B,GAS,1,823
39063000,325750,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8370,51.3178321,3.1416329,,84,,2,2,INSTALLED,0,0,1,6,0,0,0,0,MISSING,,MISSING,MISSING,0,
7440000,604760,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3360,50.8558443,4.7765579,,106,,4,2,HYPER_EQUIPPED,0,0,1,19,0,0,1,1,AS_NEW,,MISSING,GAS,1,
27416000,145000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7120,,,,105,257,2,3,INSTALLED,0,1,1,,0,0,0,1,JUST_RENOVATED,255,C,GAS,1,356
16740000,1150000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1180,50.8111379,4.35818,2023,162,,2,3,USA_HYPER_EQUIPPED,0,0,1,28,0,0,0,0,AS_NEW,30,A,MISSING,0,
34837000,250000,HOUSE,HOUSE,Wallonia,Liège,Liège,4000,50.6800643,5.5429708,,,199,,3,INSTALLED,0,0,1,23,0,0,0,1,MISSING,399,E,GAS,1,441
2765000,266000,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,50.7284312,4.2258674,,82,,,1,MISSING,0,0,1,11,0,0,0,0,GOOD,,MISSING,MISSING,1,
