,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
60411,79374000,465000.0,HOUSE,HOUSE,Wallonia,Namur,Namur,5004,,,,165.0,810.0,4.0,4.0,MISSING,0,0,0,0.0,1,,0,1,MISSING,248.0,C,GAS,0,1127.0,,left_only
60439,44548000,465600.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1420,,,2021.0,150.0,,,2.0,HYPER_EQUIPPED,0,0,1,29.0,0,0.0,1,1,AS_NEW,102.0,B,MISSING,0,,,left_only
60457,70678000,466268.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1745,50.9891022,4.1681252,,129.0,312.0,3.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,0,,,left_only
60501,1045000,468000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0544555,3.6565999,1980.0,133.0,,2.0,3.0,INSTALLED,0,0,1,25.0,0,0.0,0,1,AS_NEW,107.0,B,GAS,0,,,left_only
60512,39669000,468000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2382,51.4490412,5.0432671,,245.0,477.0,3.0,4.0,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,141.0,B,MISSING,1,,,left_only
60539,76403000,469000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.8626616,4.34263,,140.0,,2.0,3.0,MISSING,0,1,1,30.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,,,left_only
60549,65462000,469000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2390,51.2964553,4.6997264,2024.0,136.0,,,2.0,HYPER_EQUIPPED,0,0,1,14.0,1,1.0,0,0,AS_NEW,,A++,MISSING,1,,,left_only
60620,75727000,469000.0,HOUSE,HOUSE,Flanders,East Flanders,Gent,9050,51.0284723,3.7641375,2024.0,144.0,215.0,2.0,3.0,USA_HYPER_EQUIPPED,0,0,1,,1,117.0,0,0,AS_NEW,,MISSING,MISSING,1,,,left_only
60657,31403000,469000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8377,,,2023.0,199.0,327.0,,4.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,1,,,left_only
60658,2839000,469000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8380,,,,199.0,327.0,,4.0,MISSING,0,0,1,,1,,0,1,MISSING,,MISSING,MISSING,1,,,left_only
60668,26353000,469000.0,HOUSE,HOUSE,Wallonia,Luxembourg,Virton,6750,49.5545644,5.6876372,2005.0,200.0,2400.0,4.0,4.0,INSTALLED,0,1,1,,0,0.0,0,1,AS_NEW,236.0,C,FUELOIL,1,740.0,,left_only
60694,78536000,469500.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2270,51.1415071,4.7554977,2023.0,231.0,194.0,2.0,3.0,INSTALLED,0,1,1,,1,,0,0,AS_NEW,,MISSING,MISSING,1,,,left_only
60700,53249000,469856.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1701,50.8308733,4.2299101,,140.0,385.0,3.0,3.0,MISSING,0,0,1,,0,0.0,0,0,AS_NEW,,MISSING,MISSING,1,,,left_only
60704,740000,469950.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8200,51.1964105,3.1769488,2023.0,133.0,,4.0,2.0,HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
60708,21463000,470000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,,,2023.0,104.0,,,2.0,MISSING,0,0,1,7.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
60712,70219000,470000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,50.8238494,4.3681903,2009.0,97.0,,4.0,2.0,USA_HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,GOOD,124.0,C,GAS,0,1676.0,,left_only
60742,67907000,470000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4122,50.5451573,5.4956168,,138.0,,,3.0,MISSING,0,0,1,16.0,0,0.0,0,1,MISSING,65.0,A,MISSING,0,,,left_only
