,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
6,39273000,77000.0,APARTMENT,FLAT_STUDIO,Wallonia,Hainaut,Mons,7012,50.4480875,3.8930226,,99.0,,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,551.0,G,GAS,1,1.0,,left_only
26,22887000,79000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,50.3992946,4.4255255,1961.0,70.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,,MISSING,MISSING,1,743.0,,left_only
79,72313000,79900.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6020,,,,46.0,17.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,236.0,C,GAS,1,178.0,,left_only
102,11239000,80000.0,APARTMENT,TRIPLEX,Wallonia,Hainaut,Charleroi,6000,,,,120.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
104,30304000,80000.0,HOUSE,BUNGALOW,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74.0,0.0,4.0,2.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,,MISSING,GAS,0,,,left_only
106,11603000,80000.0,HOUSE,CHALET,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74.0,0.0,4.0,2.0,INSTALLED,0,0,1,,0,0.0,0,1,MISSING,,MISSING,GAS,0,,,left_only
108,8889000,80000.0,HOUSE,FARMHOUSE,Wallonia,Namur,Dinant,5560,50.1664213,5.0886512,,,65.0,4.0,0.0,MISSING,0,0,0,0.0,1,65.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
125,75558000,80000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,153.0,0.0,4.0,0.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,1026.0,G,GAS,0,664.0,,left_only
127,67081000,80000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7380,50.4071465,3.6869172,,174.0,148.0,2.0,5.0,USA_SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,490.0,F,FUELOIL,0,,,left_only
132,57671000,80000.0,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7070,50.4745477,4.092182,,156.0,133.0,3.0,3.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,525.0,G,MISSING,0,33.0,,left_only
145,67869000,80000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4870,50.5692728,5.6800476,,65.0,823.0,3.0,1.0,NOT_INSTALLED,0,1,1,20.0,1,770.0,0,1,TO_RENOVATE,600.0,G,MISSING,1,133.0,,left_only
187,51701000,85000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6001,50.3992691,4.4507653,,80.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,146.0,B,GAS,0,1398.0,,left_only
197,27844000,85000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7100,50.4775973,4.2114665,1977.0,,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,230.0,C,MISSING,1,733.0,,left_only
223,59371000,85000.0,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7800,50.6293307,3.7784255,,,0.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,300.0,D,MISSING,0,376.0,,left_only
248,66699000,85000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,153.0,420.0,2.0,3.0,MISSING,0,1,0,0.0,0,0.0,0,1,TO_RENOVATE,,MISSING,MISSING,1,450.0,,left_only
260,52294000,85000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,50.741093,3.2154034,,,220.0,2.0,4.0,MISSING,0,0,0,0.0,1,,0,1,TO_RENOVATE,762.0,G,GAS,0,245.0,,left_only
272,15841000,85000.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7130,,,,137.0,100.0,3.0,4.0,SEMI_EQUIPPED,0,1,1,,0,0.0,0,1,TO_BE_DONE_UP,539.0,G,GAS,1,463.0,,left_only
291,54858000,85000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5580,50.157145,5.2240464,,83.0,62.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,486.0,F,WOOD,1,359.0,,left_only
304,5051000,86000.0,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7110,50.467018,4.1261523,,,0.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,599.0,G,MISSING,0,267.0,,left_only
312,37476000,87000.0,HOUSE,CHALET,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,54.0,0.0,,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
336,24480000,89000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,,,,50.0,,,1.0,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,1,JUST_RENOVATED,477.0,F,GAS,1,827.0,,left_only
353,27511000,89000.0,APARTMENT,FLAT_STUDIO,Flanders,West Flanders,Oostend,8434,51.1697856,2.7779143,1977.0,23.0,,2.0,0.0,MISSING,1,0,1,,0,0.0,0,0,MISSING,543.0,F,ELECTRIC,1,1.0,,left_only
388,35088000,89000.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6470,50.1659882,4.1826783,,110.0,220.0,2.0,3.0,MISSING,0,1,0,0.0,0,0.0,0,1,MISSING,540.0,G,MISSING,1,,,left_only
417,3183000,89999.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7140,,,1900.0,125.0,0.0,2.0,4.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,405.0,E,GAS,1,270.0,,left_only
422,59009000,90000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,7170,50.4888963,4.2272612,,,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,619.0,G,FUELOIL,0,739.0,,left_only
423,54922000,90000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7012,50.4480875,3.8930226,,188.0,,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,272.0,D,GAS,1,1.0,,left_only
465,31585000,90000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6183,50.4675604,4.3191818,,,0.0,2.0,2.0,MISSING,0,0,1,1.0,1,1.0,0,1,TO_BE_DONE_UP,,MISSING,MISSING,0,275.0,,left_only
474,74919000,90000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,130.0,150.0,,2.0,MISSING,0,1,0,0.0,0,0.0,0,1,MISSING,504.0,F,MISSING,0,,,left_only
486,67165000,90000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7370,,,1875.0,134.0,460.0,3.0,2.0,NOT_INSTALLED,0,1,1,7.0,1,266.0,0,1,TO_RENOVATE,441.0,F,MISSING,1,331.0,,left_only
495,76303000,90000.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6150,50.410266,4.2676966,,93.0,155.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,441.0,F,MISSING,0,373.0,,left_only
512,3617000,90000.0,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5670,,,,80.0,59.0,3.0,2.0,INSTALLED,0,0,0,0.0,1,132.0,0,1,GOOD,328.0,D,FUELOIL,0,285.0,,left_only
524,9595000,93000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1200,50.8507973,4.4507638,1990.0,20.0,,,1.0,MISSING,0,1,0,0.0,0,0.0,0,0,MISSING,317.0,F,MISSING,1,555.0,,left_only
563,17268000,95000.0,APARTMENT,FLAT_STUDIO,Flanders,West Flanders,Kortrijk,8530,50.8616452,3.3026798,,33.0,,2.0,0.0,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,1,GOOD,597.0,F,ELECTRIC,0,,,left_only
567,54858000,95000.0,APARTMENT,FLAT_STUDIO,Wallonia,Hainaut,Ath,7800,50.6230745,3.7714483,1995.0,38.0,,3.0,0.0,INSTALLED,0,0,0,0.0,1,1.0,0,0,GOOD,,C,GAS,1,,,left_only
599,79373000,95000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6000,50.4264454,4.4552587,,75.0,114.0,3.0,2.0,SEMI_EQUIPPED,0,0,0,0.0,1,64.0,0,0,TO_RENOVATE,1149.0,G,GAS,0,400.0,,left_only
681,9008000,95000.0,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5620,50.2528731,4.6044358,,90.0,0.0,2.0,2.0,INSTALLED,0,0,1,5.0,0,0.0,0,1,MISSING,351.0,E,GAS,1,,,left_only
689,30698000,96000.0,APARTMENT,FLAT_STUDIO,Wallonia,Liège,Liège,4040,50.6562096,5.6143687,,30.0,,2.0,0.0,MISSING,0,0,1,8.0,0,0.0,0,0,GOOD,547.0,G,FUELOIL,0,458.0,,left_only
721,18597000,98000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1040,,,,22.0,,,0.0,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,243.0,E,GAS,1,,,left_only
753,48944000,99000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8450,51.2506745,2.9687262,1985.0,28.0,,,1.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,MISSING,255.0,C,ELECTRIC,1,498.0,,left_only
765,53114000,99000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mouscron,7700,50.72465,3.19233,,65.0,,,1.0,MISSING,0,1,0,0.0,0,0.0,0,1,MISSING,621.0,G,GAS,1,,,left_only
774,46809000,99000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.6365103,5.5846806,,43.0,,4.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,544.0,G,GAS,1,410.0,,left_only
786,17219000,99000.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4900,50.492175,5.866947,,84.0,,2.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,569.0,G,MISSING,1,465.0,,left_only
826,78855000,99000.0,APARTMENT,FLAT_STUDIO,Wallonia,Namur,Namur,5300,50.475978,5.0980494,1874.0,48.0,,3.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,407.0,E,PELLET,1,1.0,,left_only
831,14260000,99000.0,APARTMENT,SERVICE_FLAT,Flanders,Flemish Brabant,Halle-Vilvoorde,3090,50.7760319,4.530039,2010.0,34.0,,2.0,1.0,INSTALLED,0,1,0,0.0,0,0.0,0,1,AS_NEW,,MISSING,ELECTRIC,1,,,left_only
873,62282000,99000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,50.3912836,4.5187399,,85.0,0.0,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,335.0,D,GAS,1,,,left_only
874,69371000,99000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,50.408329,4.5254471,,110.0,0.0,2.0,2.0,SEMI_EQUIPPED,0,1,1,14.0,0,0.0,0,1,GOOD,298.0,D,GAS,1,342.0,,left_only
902,76991000,99000.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6150,50.4084237,4.2702926,,370.0,0.0,,0.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,,MISSING,MISSING,0,1013.0,,left_only
906,51483000,99000.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7141,,,,,0.0,,0.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,463.0,F,MISSING,0,,,left_only
932,25930000,99000.0,HOUSE,HOUSE,Wallonia,Luxembourg,Marche-en-Famenne,6900,50.1863984,5.3100965,,132.0,230.0,3.0,2.0,MISSING,0,0,1,7.0,0,0.0,0,1,TO_RENOVATE,1135.0,G,MISSING,1,,,left_only
1003,39912000,100000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2490,51.1723514,5.1906747,,134.0,1313.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,837.0,F,MISSING,0,713.0,,left_only
1018,29509000,100000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6140,50.4108757,4.3145184,,,350.0,2.0,3.0,MISSING,0,0,0,0.0,1,235.0,0,0,TO_RENOVATE,614.0,G,MISSING,0,446.0,,left_only
1039,73344000,100000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,85.0,0.0,2.0,2.0,USA_SEMI_EQUIPPED,0,0,1,,0,0.0,0,1,GOOD,376.0,E,MISSING,0,,,left_only
1053,24763000,100000.0,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6150,,,,147.0,300.0,3.0,3.0,NOT_INSTALLED,0,1,0,0.0,0,0.0,0,1,TO_RENOVATE,641.0,G,GAS,0,485.0,,left_only
1073,13108000,100000.0,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5660,,,,,380.0,3.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RESTORE,,MISSING,MISSING,0,592.0,,left_only
1097,77007000,105000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8660,51.1048221,2.5958592,,40.0,,,1.0,NOT_INSTALLED,0,1,0,0.0,0,0.0,0,1,MISSING,335.0,D,GAS,1,247.0,,left_only
1106,48665000,105000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6140,,,1980.0,,,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,211.0,C,GAS,1,684.0,,left_only
1121,21751000,105000.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5080,50.4994758,4.8020163,1915.0,46.0,,3.0,1.0,INSTALLED,0,1,0,0.0,0,0.0,0,0,GOOD,618.0,G,ELECTRIC,1,455.0,,left_only
1136,18024000,105000.0,APARTMENT,PENTHOUSE,Wallonia,Hainaut,Charleroi,6000,50.4239743,4.450563,1970.0,,,,1.0,INSTALLED,0,0,1,1.0,0,0.0,0,1,MISSING,,F,FUELOIL,0,,,left_only
1197,73975000,105000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4340,50.7122,5.4675224,,97.0,0.0,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,385.0,E,MISSING,1,370.0,,left_only
1208,7624000,105000.0,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5630,50.2245242,4.4117842,1850.0,153.0,332.0,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,929.0,G,ELECTRIC,0,339.0,,left_only
1301,16517000,109000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4610,50.6184246,5.6639319,,89.0,127.0,2.0,3.0,INSTALLED,0,0,1,30.0,0,0.0,0,0,TO_RENOVATE,761.0,G,FUELOIL,0,627.0,,left_only
1318,11285000,109900.0,HOUSE,MIXED_USE_BUILDING,Wallonia,Hainaut,Charleroi,6200,,,,,0.0,2.0,2.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,405.0,E,MISSING,1,892.0,,left_only
1329,11342000,110000.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3550,51.0416528,5.3009728,1982.0,50.0,,,1.0,MISSING,0,1,0,0.0,0,0.0,0,0,MISSING,249.0,C,GAS,1,433.0,,left_only
1345,56405000,110000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7000,,,1969.0,73.0,,2.0,1.0,MISSING,0,0,1,6.0,0,0.0,0,1,TO_BE_DONE_UP,309.0,D,MISSING,1,914.0,,left_only
1381,66065000,110000.0,APARTMENT,FLAT_STUDIO,Wallonia,Namur,Dinant,5580,50.1578652,5.2431988,2010.0,30.0,,2.0,1.0,INSTALLED,0,0,1,5.0,1,10.0,0,1,AS_NEW,343.0,E,ELECTRIC,1,472.0,,left_only
1383,19538000,110000.0,APARTMENT,FLAT_STUDIO,Wallonia,Walloon Brabant,Nivelles,1300,50.7119676,4.6109057,,46.0,,4.0,0.0,USA_SEMI_EQUIPPED,0,0,1,1.0,0,0.0,0,1,TO_BE_DONE_UP,722.0,G,GAS,1,,,left_only
1390,13475000,110000.0,APARTMENT,KOT,Flanders,West Flanders,Brugge,8000,51.1957328,3.2194248,2017.0,17.0,,4.0,1.0,INSTALLED,1,0,0,0.0,0,0.0,0,1,GOOD,71.55,A,GAS,0,,,left_only
1397,20555000,110000.0,HOUSE,BUNGALOW,Wallonia,Luxembourg,Neufchâteau,6927,50.0940047,5.1640162,1977.0,47.0,270.0,4.0,2.0,INSTALLED,1,0,1,15.0,1,270.0,0,0,AS_NEW,,MISSING,PELLET,1,252.0,,left_only
1423,25950000,110000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6020,,,,117.0,0.0,3.0,2.0,MISSING,0,0,1,,0,0.0,0,1,GOOD,457.0,F,MISSING,1,495.0,,left_only
1437,26117000,110000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6240,50.4233916,4.5536009,,,0.0,2.0,2.0,MISSING,0,0,1,,0,0.0,0,1,TO_RENOVATE,478.0,F,FUELOIL,1,267.0,,left_only
1441,69376000,110000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,123.0,280.0,2.0,2.0,MISSING,0,1,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,388.0,E,GAS,0,416.0,,left_only
1443,69320000,110000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7030,50.4393769,4.0104448,,,90.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,245.0,C,GAS,1,153.0,,left_only
1455,74827000,110000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7380,50.4045653,3.6743932,,133.0,145.0,2.0,3.0,MISSING,0,0,1,21.0,1,60.0,0,1,TO_RENOVATE,406.0,E,GAS,1,451.0,,left_only
1476,33807000,110000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4020,50.6381557,5.5968606,,115.0,0.0,2.0,1.0,MISSING,0,1,1,5.0,1,120.0,0,1,MISSING,425.0,E,GAS,1,438.0,,left_only
1485,32839000,110000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4170,,,,277.0,541.0,2.0,5.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,331.0,D,FUELOIL,1,679.0,,left_only
1507,70564000,112000.0,APARTMENT,KOT,Flanders,Antwerp,Turnhout,2440,51.1735342,4.978644,,,,4.0,1.0,MISSING,1,0,0,0.0,0,0.0,0,1,JUST_RENOVATED,,MISSING,MISSING,0,,,left_only
1525,3039000,114900.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2440,51.1552497,4.9941512,1989.0,28.0,,3.0,1.0,SEMI_EQUIPPED,0,1,0,0.0,1,,0,0,GOOD,206.0,C,ELECTRIC,1,,,left_only
1551,9257000,115000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7000,,,1970.0,50.0,,2.0,1.0,INSTALLED,0,0,1,9.0,0,0.0,0,1,GOOD,277.0,D,GAS,1,676.0,,left_only
1563,22888000,115000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.647007,5.6016431,1958.0,90.0,,,2.0,MISSING,0,1,1,2.0,0,0.0,0,0,TO_BE_DONE_UP,294.0,D,FUELOIL,0,800.0,,left_only
1567,27537000,115000.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5897841,5.8606424,,,,,2.0,MISSING,0,1,1,,0,0.0,0,1,MISSING,304.0,D,GAS,0,,,left_only
1568,55754000,115000.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5919565,5.8536878,,52.0,,2.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,604.0,G,GAS,1,,,left_only
1592,19582000,115000.0,APARTMENT,FLAT_STUDIO,Wallonia,Liège,Liège,4000,50.6404916,5.5688603,,42.0,,2.0,0.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,JUST_RENOVATED,162.0,B,MISSING,1,711.0,,left_only
1595,22897000,115000.0,APARTMENT,GROUND_FLOOR,Brussels-Capital,Brussels,Brussels,1080,,,,50.0,,2.0,0.0,INSTALLED,0,0,1,12.0,0,0.0,0,1,MISSING,,MISSING,GAS,0,,,left_only
1634,72413000,115000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7080,50.4114823,3.8772131,,84.0,0.0,2.0,1.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,AS_NEW,418.0,E,ELECTRIC,1,287.0,,left_only
1640,50393000,115000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,1959.0,120.0,240.0,3.0,2.0,INSTALLED,0,0,1,,0,0.0,0,1,TO_RENOVATE,271.0,D,GAS,1,654.0,,left_only
1648,44985000,115000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,,,1930.0,120.0,190.0,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,373.0,E,MISSING,1,418.0,,left_only
1673,43001000,115000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4102,50.5966071,5.5316969,,125.0,353.0,4.0,6.0,SEMI_EQUIPPED,0,0,0,0.0,1,84.0,0,0,TO_RENOVATE,555.0,G,MISSING,0,,,left_only
1716,23319000,117000.0,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7730,,,1950.0,98.0,100.0,3.0,2.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,407.0,E,GAS,0,,,left_only
1770,67961000,119000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.6404262,5.5827986,2000.0,50.0,,2.0,1.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,173.0,C,GAS,1,440.0,,left_only
1785,70009000,119000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1080,50.8492043,4.3028037,1972.0,40.0,,2.0,0.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,370.0,G,GAS,0,889.0,,left_only
1865,1888000,119000.0,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7530,,,1950.0,154.0,935.0,3.0,3.0,NOT_INSTALLED,0,0,1,90.0,1,660.0,0,0,TO_RENOVATE,604.0,G,FUELOIL,1,282.0,,left_only
1868,52968000,119000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4020,50.6424784,5.6445087,,130.0,110.0,2.0,3.0,MISSING,0,0,1,35.0,0,0.0,0,1,TO_RENOVATE,211.0,C,GAS,0,411.0,,left_only
1907,2032000,119900.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,,,1970.0,110.0,170.0,2.0,3.0,MISSING,0,1,1,8.0,1,150.0,0,0,TO_BE_DONE_UP,482.0,F,MISSING,0,,,left_only
1915,28468000,119999.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6141,,,1940.0,130.0,379.0,2.0,2.0,SEMI_EQUIPPED,0,0,1,,1,250.0,0,1,TO_BE_DONE_UP,404.0,E,GAS,1,297.0,,left_only
1920,10735000,120000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.8523122,4.3155964,,,,,2.0,INSTALLED,0,0,1,,0,0.0,0,1,MISSING,201.0,D,MISSING,0,1256.0,,left_only
1943,27015000,120000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,1950.0,63.0,,2.0,1.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,GOOD,403.0,E,MISSING,0,,,left_only
1950,75620000,120000.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5919565,5.8536878,,77.0,,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,129.0,B,GAS,1,,,left_only
1960,53182000,120000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1090,50.8694096,4.329569,1990.0,40.0,,2.0,0.0,USA_SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,GOOD,265.0,E,ELECTRIC,1,,,left_only
1976,12380000,120000.0,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Verviers,4800,50.594438,5.8719684,,,135.0,2.0,0.0,MISSING,0,0,0,0.0,1,75.0,0,1,TO_RENOVATE,,G,MISSING,0,612.0,,left_only
2016,55270000,120000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,50.4213655,4.5271525,,,0.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,329.0,D,GAS,1,624.0,,left_only
2032,62786000,120000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7333,50.4624427,3.8207028,,130.0,193.0,3.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,132.0,F,GAS,1,,,left_only
2046,46967000,120000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7390,,,,189.0,140.0,3.0,3.0,MISSING,0,1,1,,0,0.0,0,1,TO_RENOVATE,494.0,F,GAS,1,857.0,,left_only
2064,60171000,120000.0,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7500,,,,,0.0,2.0,2.0,MISSING,0,1,0,0.0,0,0.0,0,1,MISSING,419.0,E,GAS,1,371.0,,left_only
2071,5497000,120000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4032,,,,86.0,40.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,187.0,C,MISSING,0,,,left_only
2082,22687000,120000.0,HOUSE,HOUSE,Wallonia,Liège,Verviers,4800,50.5805314,5.849905,,121.0,105.0,2.0,4.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,,MISSING,GAS,0,356.0,,left_only
2088,6942000,120000.0,HOUSE,HOUSE,Wallonia,Luxembourg,Neufchâteau,6880,49.8500383,5.2687892,1919.0,,668.0,4.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,357.0,E,MISSING,1,731.0,,left_only
2118,44391000,123500.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,,,2019.0,18.0,,2.0,1.0,MISSING,1,0,1,5.0,0,0.0,0,1,AS_NEW,96.0,C,GAS,0,,,left_only
2131,29677000,124900.0,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,50.7446565,3.2127666,,147.0,0.0,,3.0,MISSING,0,1,0,0.0,0,0.0,0,1,AS_NEW,717.0,G,GAS,1,976.0,,left_only
2168,48869000,125000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7100,,,,68.0,,2.0,2.0,INSTALLED,0,1,0,0.0,0,0.0,0,1,GOOD,198.0,C,GAS,1,,,left_only
2174,22916000,125000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,,72.0,,,2.0,NOT_INSTALLED,0,1,0,0.0,0,0.0,0,1,GOOD,444.0,F,MISSING,1,594.0,,left_only
